Gap	Count	Annotation
18	685180	AA A,CS 3
18.025	442624	NA
18.05	173600	NA
18.075	94134	NA
18.1	55225	NA
18.125	39458	NA
18.15	35054	NA
18.175	34072	NA
18.2	25825	NA
18.225	20936	NA
18.25	39624	NA
18.275	32351	NA
18.3	33136	NA
18.325	61988	NA
18.35	96923	NA
18.375	34387	NA
18.4	28742	NA
18.425	34537	NA
18.45	47588	NA
18.475	91311	NA
18.5	165038	NA
18.525	158508	NA
18.55	70089	NA
18.575	44259	NA
18.6	34215	NA
18.625	30116	NA
18.65	44923	NA
18.675	112499	NA
18.7	48041	NA
18.725	26418	NA
18.75	39550	NA
18.775	29913	NA
18.8	22306	NA
18.825	28489	NA
18.85	33563	NA
18.875	30150	NA
18.9	33646	NA
18.925	74233	NA
18.95	107502	NA
18.975	201363	NA
19	430564	AA G,CS 3
19.025	395233	NA
19.05	164646	NA
19.075	97643	NA
19.1	50224	NA
19.125	32185	NA
19.15	32966	NA
19.175	34240	NA
19.2	25791	NA
19.225	19157	NA
19.25	33814	NA
19.275	31561	NA
19.3	29110	NA
19.325	61737	NA
19.35	104934	NA
19.375	33818	NA
19.4	27301	NA
19.425	33098	NA
19.45	45599	NA
19.475	84458	NA
19.5	164755	AA-NLoss: G,CS 2
19.525	159153	NA
19.55	67321	NA
19.575	42701	NA
19.6	33001	NA
19.625	26786	NA
19.65	41359	NA
19.675	110467	NA
19.7	44681	NA
19.725	24516	NA
19.75	35894	AA-NLoss: P,CS 4
19.775	29667	NA
19.8	20292	NA
19.825	27132	NA
19.85	36109	NA
19.875	25153	NA
19.9	32515	NA
19.925	69252	NA
19.95	95798	NA
19.975	197176	NA
20	382384	AA P,CS 4
20.025	340106	NA
20.05	153515	NA
20.075	91560	NA
20.1	50804	NA
20.125	26931	NA
20.15	26748	NA
20.175	35080	NA
20.2	24226	NA
20.225	17968	NA
20.25	35251	AA-NLoss: V,CS 4
20.275	33052	NA
20.3	25787	NA
20.325	61422	NA
20.35	96160	NA
20.375	34822	NA
20.4	25088	NA
20.425	34298	NA
20.45	43361	NA
20.475	79046	NA
20.5	172831	AA V,CS 4
20.525	163464	NA
20.55	64514	NA
20.575	39718	NA
20.6	31292	NA
20.625	25959	NA
20.65	44150	NA
20.675	108167	NA
20.7	43000	NA
20.725	24165	NA
20.75	37269	AA-NLoss: T,CS 4
20.775	31158	NA
20.8	18463	NA
20.825	28417	NA
20.85	33289	NA
20.875	23923	NA
20.9	29513	NA
20.925	68009	NA
20.95	97757	NA
20.975	165784	NA
21	359474	AA T,CS 4
21.025	349552	NA
21.05	158310	NA
21.075	80341	NA
21.1	54819	NA
21.125	29453	NA
21.15	25698	NA
