Gap	Count
120.3	7369797
120.4	10143966
120.5	13079211
120.6	18615306
120.7	10627391
120.8	7644793
120.9	7979744
121	22392529
121.1	32347756
121.2	7699376
121.3	7709940
121.4	10645578
121.5	13394284
121.6	18981754
121.7	11072369
121.8	7926514
121.9	8172922
122	22874560
122.1	31830086
122.2	7853321
122.3	7682760
122.4	10578105
122.5	12981974
122.6	18215242
122.7	10508899
122.8	7653640
122.9	7786869
123	21368587
123.1	31343036
123.2	7604843
123.3	7393083
123.4	10045589
123.5	12589275
123.6	17621307
123.7	10090805
123.8	7767807
123.9	8013382
124	20957528
124.1	31334658
124.2	7995574
124.3	7603009
124.4	9713533
124.5	12698995
124.6	17316877
124.7	9961731
124.8	7498642
124.9	7854375
125	21835946
125.1	30644165
125.2	7732599
125.3	7360994
125.4	9552730
125.5	12562594
125.6	16828206
125.7	9663518
125.8	7435773
125.9	7878090
126	21676244
126.1	31084486
126.2	7763082
126.3	7256885
126.4	9612171
126.5	12335368
126.6	17170052
126.7	10019227
126.8	7501959
126.9	7852704
127	21392977
127.1	33761155
127.2	7839022
127.3	7476238
127.4	10168373
127.5	12270182
127.6	17948415
127.7	10355536
127.8	7983852
127.9	8042986
128	21715243
128.1	36992858
128.2	7838666
128.3	7511864
128.4	10360829
128.5	12161229
128.6	18773053
128.7	10134870
128.8	7678294
128.9	7810497
129	24029880
129.1	36232637
129.2	7785762
129.3	7206002
129.4	9774517
129.5	12102233
129.6	18611489
129.7	9701569
129.8	7451249
129.9	7908481
130	22393676
130.1	35383970
130.2	7677068
130.3	7270299
130.4	9474360
130.5	12092493
130.6	18509472
130.7	9508842
130.8	7592859
130.9	7857358
131	21143924
131.1	34597029
131.2	7739341
131.3	7254213
131.4	9454638
131.5	12205381
131.6	17985538
131.7	9633347
131.8	7681860
131.9	7850975
132	20328847
132.1	33576215
132.2	7731019
132.3	7287376
132.4	9665027
132.5	12068318
132.6	17876803
132.7	9711319
132.8	7570732
132.9	7800067
133	20064786
133.1	31802969
133.2	7829509
133.3	7233058
133.4	9787038
133.5	11934358
133.6	17879127
133.7	10027527
133.8	7633272
133.9	7865763
134	19094741
134.1	31757904
134.2	7735915
134.3	7299369
134.4	9736283
134.5	11561482
134.6	18324535
134.7	9515142
134.8	7632624
134.9	7696285
135	18397490
135.1	31840638
135.2	7727027
135.3	7325131
135.4	9645049
135.5	11487214
135.6	18282948
135.7	9503398
135.8	7755992
135.9	7789590
136	18429012
136.1	32526056
136.2	7764692
136.3	7206403
136.4	9694281
136.5	11316186
136.6	18017596
136.7	9394162
136.8	7750508
136.9	7564522
137	18470443
137.1	32733517
137.2	7689914
137.3	7220987
137.4	9708341
137.5	11349902
137.6	18486171
137.7	9454190
137.8	7764641
137.9	7778301
138	18752279
138.1	33461799
138.2	7778296
138.3	7527245
138.4	9683054
138.5	11480801
138.6	18667184
138.7	9424777
138.8	7962739
138.9	7758561
139	18290327
139.1	33749831
139.2	7648819
139.3	7330663
139.4	9413484
139.5	11470907
139.6	18463143
139.7	9075425
139.8	7874003
139.9	7650880
140	18419567
140.1	34120133
140.2	7776080
140.3	7276872
140.4	9522303
140.5	11439374
140.6	18885844
140.7	9303614
140.8	8082505
140.9	7790043
141	18483143
141.1	36202551
141.2	7853086
141.3	7625705
141.4	10045001
141.5	11198524
141.6	20947336
141.7	9390796
141.8	8299593
141.9	7820264
142	18975379
142.1	35947860
142.2	7842280
142.3	7379902
142.4	10026062
142.5	10953298
142.6	19086920
142.7	9431301
142.8	7967524
142.9	7677099
143	18635352
143.1	34828925
143.2	7755682
143.3	7285483
143.4	9629453
143.5	10957512
143.6	18675631
143.7	9306096
143.8	7916709
143.9	7772351
144	18622529
144.1	34321549
144.2	7824346
144.3	7435911
144.4	9371997
144.5	10951535
144.6	18360095
144.7	9078359
144.8	8122450
144.9	7611652
145	18673395
145.1	34140365
145.2	7788603
145.3	7599620
145.4	9420681
145.5	10771405
145.6	18607897
145.7	9090825
145.8	8163425
145.9	7660025
146	17790616
146.1	35825245
146.2	7820207
146.3	7327149
146.4	9643378
146.5	10565358
146.6	18760479
146.7	9231582
146.8	8076915
146.9	7599612
147	17635816
147.1	37660045
147.2	7859093
147.3	7275685
147.4	10068027
147.5	10434404
147.6	19016457
147.7	9340600
147.8	8228860
147.9	7812570
148	17193620
148.1	35317539
148.2	7895745
148.3	7430970
148.4	10134176
148.5	10325449
148.6	19287672
148.7	9237797
148.8	8256760
148.9	7592963
149	16956484
149.1	33446717
149.2	7893243
149.3	7313053
149.4	9679951
149.5	10286616
149.6	19534012
149.7	8938179
149.8	8254061
149.9	8487244
150	16432321
150.1	33482794
150.2	7913221
150.3	7357432
150.4	9635834
150.5	10282744
150.6	19997270
150.7	8916874
150.8	8286971
150.9	7434008
151	15899018
151.1	33372204
151.2	7821830
151.3	7373358
151.4	9655630
151.5	10432354
