Gap	Count
101.7	4048149
101.8	3872383
101.9	6899862
102	28681044
102.1	45200611
102.2	4104013
102.3	3800409
102.4	4099242
102.5	4083928
102.6	4351163
102.7	4149434
102.8	4139887
102.9	5499199
103	24217091
103.1	29732849
103.2	4433820
103.3	3798622
103.4	3980751
103.5	4277923
103.6	4389065
103.7	4418969
103.8	4201264
103.9	6598464
104	34813750
104.1	47620152
104.2	4531363
104.3	3772463
104.4	4051985
104.5	4415749
104.6	4809161
104.7	4807713
104.8	4953981
104.9	6016446
105	35816836
105.1	21559874
105.2	4625668
105.3	4054626
105.4	4366269
105.5	4575296
105.6	4815359
105.7	4720838
105.8	4610726
105.9	6297881
106	35255765
106.1	28482970
106.2	4434986
106.3	3963483
106.4	4006904
106.5	4397906
106.6	4388758
106.7	4208290
106.8	3881321
106.9	5878730
107	20816280
107.1	36078094
107.2	3828251
107.3	3392051
107.4	3490250
107.5	3863213
107.6	3888157
107.7	3603547
107.8	3588291
107.9	5022325
108	22392708
108.1	20373903
108.2	3357277
108.3	3091719
108.4	3166857
108.5	3388047
108.6	3543364
108.7	3539749
108.8	3300559
108.9	4373346
109	16492529
109.1	28508783
109.2	3290989
109.3	3114088
109.4	3403603
109.5	3467512
109.6	3245881
109.7	3290535
109.8	3232386
109.9	4260258
110	28803524
110.1	13938198
110.2	3164463
110.3	2922954
110.4	3078801
110.5	3360481
110.6	3807533
110.7	3730104
110.8	3711875
110.9	5001452
111	26108039
111.1	26777918
111.2	3933886
111.3	3466519
111.4	3587616
111.5	3747940
111.6	4661959
111.7	3499019
111.8	3518024
111.9	5394577
112	23587345
112.1	21017819
112.2	3569787
112.3	3269207
112.4	3144099
112.5	3686623
112.6	3751297
112.7	3621792
112.8	3365145
112.9	7988610
113	29789362
113.1	29513030
113.2	3499227
113.3	3046759
113.4	3209093
113.5	3576528
113.6	4095650
113.7	3313680
113.8	3365131
113.9	5153104
114	32075648
114.1	24508188
114.2	3244511
114.3	2662339
114.4	2817801
114.5	3336613
114.6	3351528
114.7	3235918
114.8	3055918
114.9	4706722
115	25348215
115.1	24805172
115.2	3513996
115.3	2902853
115.4	3560346
115.5	3617836
115.6	3727749
115.7	3919869
115.8	3423559
115.9	4741663
116	25868563
116.1	46382015
116.2	3742839
116.3	3177778
116.4	3163655
116.5	3556854
116.6	3605983
116.7	3733714
116.8	3697543
116.9	5573805
117	20453359
117.1	32280515
117.2	3914511
117.3	3362139
117.4	4040584
117.5	3956406
117.6	4245343
117.7	4116153
117.8	4097857
117.9	5172072
118	29481999
118.1	34628282
118.2	4463145
118.3	3725694
118.4	4025453
118.5	4148338
118.6	3899001
118.7	3932141
118.8	4017670
118.9	5410056
119	23331239
119.1	29939579
119.2	3971333
119.3	3346834
119.4	3720500
119.5	3979503
119.6	4304251
119.7	4351194
119.8	4131912
119.9	5374047
120	27319075
120.1	40556987
120.2	4897625
120.3	4331195
120.4	4481591
120.5	6188488
120.6	5580166
120.7	4936954
120.8	5192908
120.9	6517966
121	21219646
121.1	42003038
121.2	5648008
121.3	4986398
121.4	4974537
121.5	5599969
121.6	5648401
121.7	6687011
121.8	6642684
121.9	8571719
122	40136573
122.1	28556970
122.2	5630429
122.3	5268505
122.4	5639449
122.5	5781582
122.6	5517067
122.7	5086277
122.8	4999788
122.9	7166439
123	25834732
123.1	65216469
123.2	4761155
123.3	4390713
123.4	4395322
123.5	4524430
123.6	4604330
123.7	5223380
123.8	4896924
123.9	8443945
124	22999373
124.1	26849258
124.2	4394737
124.3	4025726
124.4	4255324
124.5	4377354
124.6	4433459
124.7	4454630
124.8	4681158
124.9	11221401
125	21365818
125.1	32150302
125.2	4127030
125.3	3869617
125.4	4093357
125.5	4448044
125.6	4277780
125.7	4227537
125.8	4469268
125.9	5245185
126	21880735
126.1	79199033
126.2	4189683
126.3	3317481
126.4	3824695
126.5	4280770
126.6	4480403
126.7	4434680
126.8	4445664
126.9	6623219
127	30415012
127.1	27279955
127.2	4560682
127.3	4158901
127.4	4050950
127.5	5667155
127.6	4980470
127.7	5809749
127.8	5343848
127.9	6340965
128	29456543
128.1	32040459
128.2	4088362
128.3	3605292
128.4	4118022
128.5	4303676
